sample/cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
TCGA-A2-A0T2-01A-11R-A084-07,0.0034499883983888,0.2777972911061518,0.3617060868624652,0.0533568179396448,0.0701959631556808,0.1511356370692703,0.0299378309538692,0.0,0.0524203845145289
TCGA-AC-A3W6-01A-12R-A22K-07,0.0142545937224652,0.5170524844094069,0.0787377001952243,0.1041368406476711,0.0664931720626287,0.0,0.0490086057674591,0.0,0.1703166031951447
TCGA-A2-A3XV-01A-21R-A239-07,0.0,0.1582803427244432,0.6960404634032759,0.0293438603091976,0.0312949405928088,0.0208124120246303,0.0559580309645715,0.0,0.0082699499810724
TCGA-BH-A0EA-01A-11R-A115-07,0.020993858098067,0.3079004029478683,0.0512019070120592,0.1775769964787143,0.0614149362650702,0.1807012859537387,0.1570344945469307,0.001236759065492,0.0419393596320591
TCGA-BH-A0B3-01A-11R-A056-07,0.0146438862734898,0.2710918095569658,0.0973399731247169,0.0232632130947558,0.1108909589240403,0.3011149528654722,0.0362589756772507,0.0525654673910163,0.0928307630922919
TCGA-5L-AAT1-01A-12R-A41B-07,0.0203641866803155,0.416679430874676,0.1052248007873822,0.05541676731852,0.136790286697337,0.0209497457190495,0.008448998532789,0.0051317622392329,0.2309940211506977
TCGA-E2-A15J-01A-11R-A12P-07,0.0041158818679235,0.1959015373379624,0.4845634248953964,0.1103244619671952,0.0648470006142744,0.099907133137483,0.0392799718023839,0.0010605883773808,0.0
TCGA-B6-A0WS-01A-11R-A115-07,0.0441858655786833,0.3275782270509645,0.2107917508619106,0.0956291734217389,0.06328496479725,0.0,0.0178053339152489,0.0065863093144896,0.2341383750597138
TCGA-BH-A0H7-01A-13R-A056-07,0.0134749450406733,0.6811634143526123,0.1994817150221872,0.0346924440723058,0.0363627037112791,0.0,0.0043472804002626,0.0,0.0304774974006792
TCGA-A2-A0YT-01A-11R-A109-07,0.0,0.1454094735561853,0.4493477253145629,0.1339068772302089,0.0846367396875876,0.0,0.0985602467639397,0.0282411279357201,0.0598978095117954
TCGA-AN-A0XO-01A-11R-A109-07,0.0,0.4358821192467231,0.3331882328151748,0.0542898077629011,0.0230429309013738,0.0660432176254285,0.0875536916483984,0.0,0.0
TCGA-EW-A1P3-01A-11R-A144-07,0.0211697383100494,0.2779305155982667,0.3847609903112921,0.1032000166525587,0.0514711562088723,0.0234940859810354,0.104051620065845,2.756419250009692e-05,0.0338943126795801
TCGA-A2-A04N-01A-11R-A115-07,0.0575571055715334,0.537177126118787,0.2139097423097259,0.0656605809888081,0.0603877383836859,0.013108059379231,0.029326756810085,0.0,0.0228728904381434
TCGA-D8-A13Y-01A-11R-A115-07,0.0428964567508384,0.1689270178699265,0.3626347699131899,0.0394879426938198,0.0446514030669776,0.083776263313534,0.1943960970450595,0.0330568393724159,0.0301732099742383
TCGA-D8-A146-01A-31R-A115-07,0.1041568185182896,0.4526994816732814,0.1115305440486067,0.0908289737877445,0.0749920030942288,0.0539657182144117,0.0491825146630625,0.0027275779654351,0.0599163680349393
TCGA-LL-A7SZ-01A-32R-A352-07,0.0401551583840241,0.1584450226517811,0.304880534405206,0.0238562795530645,0.0961191905837383,0.0,0.0340829265822009,0.1817172388705417,0.160743648969443
TCGA-AO-A0J8-01A-21R-A034-07,0.016206002056224,0.3896617375034181,0.2949588362819414,0.0612047120346981,0.1161784518311841,0.0,0.0169322707905435,0.0,0.1048579895019906
TCGA-B6-A0IK-01A-12R-A056-07,0.0178966599220209,0.1722616910961164,0.4003142824994479,0.0877000387709342,0.05167457121749,0.09171235487811,0.0650737898368473,0.0288736329330942,0.0844929788459387
TCGA-A2-A0T3-01A-21R-A115-07,0.0074575155992486,0.2326688217123021,0.2839887370151236,0.1078756598202886,0.0340136049605549,0.2070045217577271,0.0768872130911856,0.0,0.0501039260435694
TCGA-AO-A03M-01B-11R-A10J-07,0.0446959119083205,0.1794531537289527,0.2139023179404647,0.0675603046231364,0.1197049437804499,0.0328616917793412,0.0628572219793416,0.0145562947145566,0.2644081595454361
